city,latitude,longitude,name,zip,state
Dubuque,42.49936,-90.69409,Hardee's,52001,IA
Memphis,35.11467,-89.94567,McDonald's,38111,TN
Reidsville,32.0872,-82.1169,McDonald's,30453,GA
Robinsonville,34.819435,-90.315636,Checkers,38664,MS
Cedar Falls,42.51433,-92.44636,McDonald's,50613,IA
Waverly,42.71363,-92.47495,McDonald's,50677,IA
Cedar Falls,42.537782,-92.452172,McDonald's,50613,IA
Southaven,34.963048,-89.991071,Krystal,38671,MS
Memphis,35.14451,-90.0163,Burger King,38104,TN
Memphis,35.020951,-89.849198,Burger King,38141,TN
Memphis,35.06408,-89.9415,Krystal,38118,TN
Memphis,35.068122,-89.944386,Burger King,38118,TN
Memphis,35.13482,-89.99183,Burger King,38104,TN
Ottumwa,41.017663,-92.437886,Arby's,52501,IA
Ottumwa,41.016358,-92.438456,Burger King,52501,IA
Billings,45.78377,-108.58727,Domino's Pizza,59102,MT
Billings,45.81531,-108.4716,Domino's Pizza,59105,MT
Creston,41.051853,-94.367339,McDonald's,50801,IA
Decorah,43.29087,-91.79683,McDonald's,52101,IA
Decorah,43.2915,-91.7971,Integrated Therapy Specialists: Arnold D Larson,52101,IA
Swainsboro,32.584458,-82.321669,McDonald's,30401,GA
Swainsboro,32.5931,-82.3314,KFC,30401,GA
Swainsboro,32.58476,-82.321876,Hardee's,30401,GA
Swainsboro,32.58951,-82.32731,Burger King,30401,GA
Burlington,40.810887,-91.141513,Wendy's,52601,IA
Burlington,40.807291,-91.142192,Arby's,52601,IA
Clinton,41.85268,-90.18691,Jimmy John's,52732,IA
Clinton,41.85137,-90.18702,McDonald's,52732,IA
Clinton,41.852665,-90.186586,Wendy's,52732,IA
Clinton,41.816011,-90.229246,McDonald's,52732,IA
Carroll,42.06454,-94.86163,Jimmy John's,51401,IA
Carroll,42.0715,-94.8767,McDonald's,51401,IA
Carroll,42.065153,-94.843281,Arby's,51401,IA
Carroll,42.07128,-94.87785,Burger King,51401,IA
Storm Lake,42.645464,-95.188684,Hardee's,50588,IA
Storm Lake,42.6453,-95.1881,KFC,50588,IA
Storm Lake,42.655465,-95.20075,Burger King,50588,IA
Mason City,43.147806,-93.236725,Arby's,50401,IA
Mason City,43.147024,-93.19974,Hardee's,50401,IA
Mason City,43.148534,-93.235558,Burger King,50401,IA
Corinth,34.91913,-88.51157,Domino's Pizza,38834,MS
Newton,41.699413,-93.04532,Burger King,50208,IA
Moscow,46.72966,-117.00437,Domino's Pizza,83843,ID
Boone,36.201496,-81.656779,Burger King,28607,NC
Boone,36.21992,-81.68616,Jimmy John's,28607,NC
Boone,36.19887,-81.65861,Jimmy John's,28607,NC
Mountain Home,43.14158,-115.66251,Jack In The Box,83647,ID
Mountain Home,43.136722,-115.665115,Wendy's,83647,ID
Mountain Home,43.1371,-115.66442,McDonald's,83647,ID
Washington,35.555,-77.0592,Waffle House,27889,NC
Sioux Center,43.09082,-96.17456,McDonald's,51250,IA
Twin Falls,42.59206,-114.45867,McDonald's,83301,ID
Twin Falls,42.56322,-114.45229,Pizza Hut,83301,ID
Twin Falls,42.56708,-114.46094,McDonald's,83301,ID
Independence,42.468862,-91.895944,Burger King,50644,IA
Independence,42.46783,-91.91736,McDonald's,50644,IA
Swansboro,34.69101,-77.06811,Quiznos,28584,NC
Blackfoot,43.196641,-112.35846,Arby's,83221,ID
Blackfoot,43.19695,-112.35766,Burger King,83221,ID
Leland,34.2126,-78.0233,Arby's,28451,NC
Taylorville,39.55646,-89.29686,Wendy's,62568,IL
Taylorville,39.555018,-89.297434,Taco Bell,62568,IL
Taylorville,39.5542,-89.297,KFC,62568,IL
Paw Paw,42.211187,-85.890822,Arby's,49079,MI
Wilmington,34.264065,-77.852936,Burger King,28405,NC
Wilmington,34.22091,-77.88306,Burger King,28403,NC
Bourbonnais,41.188,-87.8501,McDonalds,60914,IL
Holly Ridge,34.427555,-77.546369,Hardee's,28445,NC
Carolina Beach,34.0313,-77.89517,McDonald's,28428,NC
Leland,34.233062,-77.996404,Bojangles' Famous Chicken 'n Biscuits,28451,NC
Leland,34.2339,-77.996,KFC,28451,NC
Springfield,39.8167,-89.6428,McDonald's,62702,IL
Osceola,41.025382,-93.796834,Taco Bell,50213,IA
Tipton,41.77486,-91.12799,Subway,52772,IA
Tipton,41.769334,-91.128399,Hardee's,52772,IA
Fort Mill,35.0603,-80.9922,McDonalds,29708,SC
Rigby,43.6813,-111.9088,Wendy's,83442,ID
Idaho Falls,43.472946,-111.985083,Taco Bell,83404,ID
Idaho Falls,43.49399,-111.99958,Jack in the Box,83401,ID
Pocatello,42.86532,-112.44441,Jack in the Box,83201,ID
Pocatello,42.86235,-112.43917,Jimmy John's,83201,ID
Pocatello,42.89864,-112.43338,Subway,83201,ID
Pocatello,42.88932,-112.45208,Arby's,83201,ID
Pocatello,42.891976,-112.451452,Wendy's,83201,ID
Anna,37.462935,-89.22777,Burger King,62906,IL
Anna,37.459786,-89.245351,Hardee's,62906,IL
Anna,37.462324,-89.23027,Taco Bell,62906,IL
Rexburg,43.835842,-111.77808,KFC,83440,ID
Rexburg,43.83563,-111.77808,Wendy's,83440,ID
Rexburg,43.835073,-111.778081,Jack in the Box,83440,ID
Rexburg,43.83369,-111.77853,McDonald's,83440,ID
Rexburg,43.83341,-111.77794,Dairy Queen,83440,ID
Rexburg,43.83616,-111.77758,Arby's,83440,ID
Canton,40.55842,-90.03364,Burger King,61520,IL
Canton,40.563491,-90.035021,Hardee's,61520,IL
Centralia,38.52638,-89.12477,McDonald's,62801,IL
Pontiac,40.87296,-88.66152,Burger King,61764,IL
Pontiac,40.87297,-88.65759,Taco Bell,61764,IL
Carbondale,37.73535,-89.18663,McDonald's,62901,IL
Mount Vernon,38.313427,-88.945891,Burger King,62864,IL
Mount Vernon,38.30087,-88.903,Burger King,62864,IL
Paducah,37.079123,-88.683966,Taco Bell,42001,KY
Ottawa,41.354618,-88.8412,Wendy's,61350,IL
Paducah,37.07607,-88.68939,Wendy's,42001,KY
Rochelle,41.93507,-89.03496,Wendy's,61068-9699,IL
